model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
ablation_phys,validation,1,14774,38,0.0025720860971977797,0.7677956597519857,0.032997340785168756,0.006374202422455349,0.028180267778340325,0.5164902280130292,0.010039656,0.24511400651465798,0.0047916872,0.002533070061016924,0.0005744073999278596
ablation_phys,validation,3,14774,178,0.012048192771084338,0.8009201381939333,0.10361794767011685,0.026288857169417222,0.06744325321156763,0.5694710879693067,0.038476463,0.39599890380926284,0.023037512,0.011275065438550638,0.0018524394584044828
ablation_phys,validation,6,14774,349,0.023622580208474346,0.792640522810903,0.15724817788158077,0.04014212645398148,0.08619533105553676,0.5685268630849221,0.0617077,0.3460658578856153,0.03380576,0.021254291575363956,0.003955944910796153
ablation_phys,test,1,12485,41,0.0032839407288746494,0.8625040180006428,0.027297086550657004,0.005845486078515485,0.024728506553552264,0.81099324975892,0.034487583,0.670041787206686,0.015670106,0.0032378281685747187,0.0015284283634430058
ablation_phys,test,3,12485,169,0.013536243492190628,0.8476595605658489,0.09318187447735596,0.02381358442410408,0.05935958463235883,0.7803670022734654,0.07889539,0.5560246833387463,0.03204047,0.012807325874061313,0.004783165761855026
ablation_phys,test,6,12485,322,0.02579094913896676,0.8275042984961518,0.12431026331097779,0.038389546032554296,0.07511365507601121,0.7697936364383787,0.11129164,0.4914905862040615,0.043567307,0.023829438542808078,0.008363535498357244
ablation_phys+lab,validation,1,14774,38,0.0025720860971977797,0.7711601377221554,0.034192270114474614,0.003931142729326622,0.019850166177467175,0.5101791530944626,0.010709312,0.21036916395222582,0.0058740363,0.0025285309778709177,0.0004820077577229809
ablation_phys+lab,validation,3,14774,178,0.012048192771084338,0.8053572473295746,0.1352923340345922,0.017515707350619334,0.05319813805881955,0.606261989586188,0.044626955,0.3238558509180598,0.024295645,0.011111891280777145,0.0015539261247150952
ablation_phys+lab,validation,6,14774,349,0.023622580208474346,0.7982255813838002,0.20189034675931694,0.030388084032698846,0.07288912113107486,0.5927209705372617,0.06895302,0.29705372616984405,0.038600262,0.020874119788348532,0.0037924549163729686
ablation_phys+lab,test,1,12485,41,0.0032839407288746494,0.8317457330793172,0.02501178790770333,0.004150053201073895,0.01770034707094113,0.730633236901318,0.01954823,0.5687078109932497,0.011879511,0.003243567758132614,0.0013316970601839544
