model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
ablation_all,validation,3,14774,178,0.012048192771084338,0.7946420598532459,0.138473365877088,0.01854881194610141,0.05621844246468119,0.596259249109345,0.044626955,0.2837078651685393,0.02232529,0.011115140010125398,0.0023481230505128527
ablation_all,validation,6,14774,349,0.023622580208474346,0.7897273219349169,0.19807010288293433,0.03179855059492008,0.07618888514562745,0.5844714038128249,0.06895302,0.2865164644714038,0.037102334,0.020921752394870808,0.005748960545639973
ablation_all,test,1,12485,41,0.0032839407288746494,0.8338527334164374,0.021535241655183,0.004224576104715409,0.017725727376195436,0.7504821600771456,0.021285564,0.5806010928961749,0.012242981,0.0032488460169683366,0.001689719346404273
ablation_all,test,3,12485,169,0.013536243492190628,0.8233528906449687,0.0833431512006655,0.018086587493747648,0.04721220115478575,0.7461026307242611,0.064505085,0.605716141604417,0.04231958,0.01295250784270811,0.004819877638183465
ablation_all,test,6,12485,322,0.02579094913896676,0.8027108995155352,0.11749662683087664,0.03185936841908477,0.06353937566035242,0.696045383540245,0.08445075,0.5464112472251912,0.057852138,0.024082823917448128,0.008016946620106718
ablation_lab,validation,1,14774,38,0.0025720860971977797,0.604277387279273,0.0302465393938766,0.0033729464623503138,0.022645231630282932,0.28046959826275786,0.013682764,0.12214983713355054,0.009653038,0.002564061395428907,0.0007604727139077405
ablation_lab,validation,3,14774,178,0.012048192771084338,0.6204616625764793,0.02132960707861138,0.016941623518145016,0.06013690118600244,0.3167991230474102,0.045934472,0.15415182241710057,0.034355115,0.011871655755698566,0.0037494189442803354
ablation_lab,validation,6,14774,349,0.023622580208474346,0.6166443366290415,0.03847156147439855,0.03224211949324307,0.08339860156206849,0.30100519930675906,0.070685536,0.11701906412478336,0.05039563,0.022964981531403507,0.006247800785175066
ablation_lab,test,1,12485,41,0.0032839407288746494,0.6267159802745568,0.005792851232517557,0.004114335652937099,0.022671579814497394,0.2819832851173256,0.013604373,0.1391835422693668,0.008692023,0.003271558570173333,0.0012098451800040652
ablation_lab,test,3,12485,169,0.013536243492190628,0.6428026466750327,0.03165554151137071,0.018291510695491547,0.05908691618009612,0.30367002273465415,0.04426592,0.1514290354011043,0.030606579,0.013306492566568434,0.003832418031992495
ablation_lab,test,6,12485,322,0.02579094913896676,0.6512220393485384,0.046988069922589706,0.03337682491544628,0.07981739420993193,0.3055167310696374,0.06847503,0.184165090849297,0.052599806,0.024951813070015923,0.00763981186687649
ablation_lab+text,validation,1,14774,38,0.0025720860971977797,0.584106591805246,0.012126191251666169,0.0035228800206177566,0.024492429981792338,0.2800624321389794,0.01442029,0.11943539630836053,0.009653038,0.002564781345781448,0.0012590513050585316
ablation_lab+text,validation,3,14774,178,0.012048192771084338,0.5967086180298742,0.018172373728981225,0.017938150520700104,0.06488283843948829,0.28124143600986573,0.045934472,0.14038092628117294,0.034044497,0.011886899612969464,0.00215619863316566
ablation_lab+text,validation,6,14774,349,0.023622580208474346,0.5955872932319627,0.03350147870470348,0.03412930891620575,0.08997057876502641,0.2589254766031196,0.07000657,0.11313691507798962,0.05039563,0.023011333981213567,0.006679679660705572
ablation_lab+text,test,1,12485,41,0.0032839407288746494,0.6031195364991258,0.005492495591089294,0.004185028874785152,0.023864673629571488,0.26173256187720995,0.013604373,0.12086145933783354,0.008692023,0.0032722640558359483,0.0015839955223394093
ablation_lab+text,test,3,12485,169,0.013536243492190628,0.6257026507107702,0.023146783413245116,0.01885633978839892,0.06242309538261914,0.26372198765833066,0.04311867,0.13518999675219223,0.030397212,0.013321632195352264,0.004664381803377747
ablation_lab+text,test,6,12485,322,0.02579094913896676,0.6351218924311233,0.04556949668402257,0.034475075161536674,0.08465089808994795,0.2639151525117158,0.06638316,0.16245991942777271,0.052209854,0.025001101718495237,0.009695994823536594
